encoded_feature,pearson_corr_with_target
symptoms4_crusting of the skin,0.009338605669034975
symptoms2_inflammed eye,0.00933860566903497
symptoms5_limping,0.00933860566903497
symptoms2_tensemus,0.009338605669034966
symptoms4_flatulence,0.009338605669034966
symptoms1_diarrhea with muscus,0.009338605669034966
symptoms2_lesions on nose,0.009338605669034964
symptoms3_darkened skin,0.009338605669034964
symptoms5_lesions on nose,0.009338605669034964
symptoms1_lesions in the nasal cavity,0.009338605669034964
symptoms1_strong cough,0.009338605669034963
symptoms3_nose bleeds,0.009338605669034963
symptoms2_runny nose,0.009338605669034963
symptoms5_unable to exercise,0.009338605669034956
symptoms4_eye and skin change,0.009338605669034956
symptoms2_loss of appetite,-0.008744604619722245
symptoms2_wool loss,0.007620394180456433
symptoms3_scaly skin,0.007620394180456424
symptoms2_crusty,0.007620394180456424
AnimalName_goats,0.007620394180456407
symptoms3_foul breath,0.007620394180456376
symptoms2_eye ulcer,0.007620394180456375
symptoms5_pink eye,0.007620394180456375
symptoms1_pnemonia,0.007620394180456369
symptoms5_arthritis,0.007620394180456369
symptoms2_willnot run to jump,0.0076203941804563686
symptoms4_week legs,0.0076203941804563686
symptoms5_pain on leg,0.0076203941804563686
symptoms1_poor coat apperence,0.007620394180456368
symptoms3_hydrophobia,0.007620394180456365
symptoms5_shyness or aggression,0.007620394180456365
symptoms2_seizures,0.007620394180456365
symptoms4_jaw is dropped,0.007620394180456365
symptoms2_anoxeria,0.007620394180456365
symptoms1_bloody urine,0.007620394180456361
symptoms2_diffculty breathing,0.007620394180456361
symptoms2_no appp,0.007620394180456357
symptoms1_watering,0.007620394180456357
symptoms1_allergic reaction,0.007620394180456356
symptoms5_distended chest,0.007620394180456356
symptoms5_scratching,0.0076203941804563555
symptoms2_kick,0.0076203941804563555
symptoms3_despression,0.0076203941804563555
symptoms2_achomotrica,0.0076203941804563555
symptoms1_poor immune function,0.0076203941804563555
symptoms4_nible at their wool,0.0076203941804563555
symptoms5_pale gums,0.0076203941804563555
symptoms4_shock,0.007620394180456354
symptoms1_abdominal pain,0.007620394180456354
symptoms3_pot belly,0.007620394180456353
symptoms3_rough hair coat,0.007620394180456353
symptoms4_blood in faces,0.007620394180456353
symptoms1_dark or black face,0.007620394180456353
symptoms1_straining,0.007620394180456353
symptoms5_blindness,0.007620394180456353
symptoms3_loss of wool,0.007620394180456351
symptoms2_fleece become thin,0.007620394180456351
symptoms1_sheep often bites,0.007620394180456351
symptoms1_inability to digest,0.0076203941804563495
symptoms2_diffulty chewing,0.007620394180456349
symptoms3_rub,0.007620394180456349
symptoms5_muscle stiffness,0.007620394180456349
symptoms1_appetite varies,0.007620394180456349
symptoms1_nasal bleeding,0.007620394180456349
symptoms3_dirty,0.007620394180456348
symptoms1_decreased eyelid,0.007620394180456348
symptoms2_reduce reproductive potential,0.007620394180456348
symptoms4_lip,0.007620394180456348
symptoms4_loss of milk production,0.007620394180456348
symptoms3_agalactia,0.007620394180456348
symptoms5_sloughing of the tail,0.007620394180456348
symptoms2_very cold skin,0.007620394180456348
symptoms5_tail shaking,0.007620394180456348
symptoms4_stained wool,0.007620394180456348
symptoms2_fell unwell,0.007620394180456348
symptoms1_groosly enlarged,0.007620394180456346
symptoms3_convulsion,0.007620394180456346
symptoms2_skin may thicken,0.007620394180456346
symptoms4_edematous,0.007620394180456346
symptoms1_watery diarrhea dispropotion,0.007620394180456345
symptoms5_sensitive to touch,0.007620394180456345
symptoms5_blood clots,0.007620394180456345
symptoms3_colic,0.007620394180456345
symptoms2_sick,0.007620394180456345
symptoms3_corneal ulceration,0.007620394180456345
symptoms2_skin colour change,0.007620394180456345
symptoms3_flabby,0.007620394180456345
symptoms4_raw,0.007620394180456345
symptoms1_hyperexcitability,0.007620394180456344
symptoms3_gums,0.007620394180456344
"symptoms5_bumps(black,grey or red)",0.007620394180456343
symptoms4_lumps,0.007620394180456343
symptoms2_lesions,0.007620394180456343
symptoms1_poor wool,0.007620394180456342
symptoms4_small size,0.007620394180456342
symptoms5_poor body condition,0.007620394180456342
symptoms3_muscus,0.007620394180456342
symptoms4_iris prolapse,0.00762039418045634
symptoms5_raised growth or bump,0.00762039418045634
symptoms1_severe kerititis,0.00762039418045634
symptoms5_loss of eye,0.00762039418045634
symptoms2_conjunctive,0.00762039418045634
symptoms1_reluctant move,0.007620394180456337
symptoms4_scratches,0.007620394180456337
symptoms4_reduce milk,0.0076203941804563365
symptoms1_respiratory distress,0.0076203941804563365
symptoms1_gasc,0.007620394180456334
symptoms3_blood in stool,0.007620394180456334
symptoms5_black stool,0.007620394180456334
symptoms4_stomach growling,0.007620394180456334
symptoms1_red skin,0.007620394180456333
symptoms1_pyrexia,0.007620394180456333
symptoms3_moist,0.007620394180456333
symptoms2_oral lesion,0.007620394180456333
symptoms3_itches,0.007620394180456329
symptoms5_tenderness,0.007620394180456329
symptoms2_testical pain,0.007620394180456329
symptoms3_strange behaviour,0.007620394180456328
symptoms2_scartching ear,0.007620394180456326
symptoms5_red and inflammation ear,0.007620394180456326
symptoms1_shaking head,0.007620394180456326
symptoms3_black on ear,0.007620394180456326
symptoms4_bad smell,0.007620394180456326
symptoms1_bloody diarhhea,0.007620394180456322
symptoms5_periodic vommiting,0.00762039418045632
symptoms1_attacks,0.00762039418045632
symptoms1_blood stool,0.007620394180456318
symptoms3_wasting,0.007620394180456317
symptoms5_staggering,0.007620394180456317
symptoms3_small intestines,0.007620394180456314
symptoms5_flock moratality,0.007620394180456314
symptoms5_carcass decomposes,0.007620394180456313
symptoms5_polydipsa,0.007620394180456313
symptoms1_haemorrhage,0.007620394180456313
symptoms2_straw colored,0.007620394180456313
symptoms1_polyuria,0.007620394180456313
symptoms1_nasal discharge,0.007620394180456312
symptoms2_nosebleeds,0.007620394180456312
symptoms5_lound breathing,0.007620394180456312
symptoms3_inflamed nostrils,0.007620394180456312
symptoms3_flank,0.00762039418045631
symptoms2_tachypea,0.007620394180456309
symptoms3_swelling of head and neck,0.007620394180456309
symptoms4_swelling on thebody,0.007620394180456306
symptoms2_change in gait,0.007620394180456306
symptoms4_rump,0.007620394180456306
symptoms3_clearly unthrifty,0.007620394180456306
symptoms1_exessive urination,0.007620394180456306
symptoms5_good appetite,0.007620394180456306
symptoms2_skin lesion,0.007620394180456306
symptoms5_inability to jump,0.007620394180456306
symptoms3_bloody droping,0.007620394180456304
symptoms4_abdominal discomfort,0.007620394180456304
symptoms1_convulsion,0.007620394180456302
symptoms4_twitching,0.007620394180456302
symptoms5_salivating,0.007620394180456302
symptoms2_loss of consciousness,0.007620394180456302
symptoms3_chewing,0.007620394180456302
symptoms2_viability,0.007620394180456302
symptoms1_tremor,0.007620394180456302
symptoms1_floopy muscle,0.007620394180456301
symptoms2_speech delay,0.007620394180456301
symptoms4_walking problem,0.007620394180456301
symptoms5_eye movements,0.007620394180456301
symptoms3_intellectual disability,0.007620394180456301
symptoms1_skin irritation,0.0076203941804563
symptoms1_wheezing,0.0076203941804563
symptoms4_swallowing,0.0076203941804563
symptoms5_effort to breath,0.0076203941804563
symptoms5_excessive grooming,0.0076203941804563
symptoms2_scartching,0.0076203941804563
symptoms2_rapid breathing,0.0076203941804563
symptoms3_lying down,0.007620394180456298
symptoms2_facial defects,0.007620394180456298
symptoms4_flat ribs,0.007620394180456298
symptoms4_weak pulse,0.007620394180456298
symptoms5_underdeveloped muscles,0.007620394180456298
symptoms1_skeleten abnormalities,0.007620394180456298
symptoms3_red patches,0.007620394180456297
symptoms3_hyperaestesia,0.007620394180456297
symptoms3_relunctance to walk,0.007620394180456297
symptoms2_dandruff in cat coat,0.007620394180456297
symptoms1_lession on cat skin,0.007620394180456297
symptoms3_muscles ache,0.007620394180456297
symptoms4_infected navels,0.007620394180456297
symptoms4_hock joint,0.007620394180456297
symptoms2_excession salivation,0.007620394180456296
symptoms3_muscle twiching,0.007620394180456296
symptoms4_ulcerated muscle,0.007620394180456296
symptoms5_ulcerated ear,0.007620394180456296
symptoms3_abnormal conformation,0.007620394180456296
symptoms3_inflammation,0.007620394180456295
symptoms4_clouded cornea,0.007620394180456295
