experiment,model,generation,best_fitness,best_accuracy_cv,best_recall_cv,best_f1_cv,mean_fitness
E2_pop8_mut30,random_forest,5,0.9964146253204,0.9920792079207921,1.0,0.9959695431472081,0.9759523658313474
E2_pop8_mut30,knn,1,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.98937406029881
E2_pop8_mut30,knn,2,0.9919219252578524,0.982138613861386,1.0,0.9909344703314552,0.9903599861368046
E2_pop8_mut30,knn,3,0.9919219252578524,0.982138613861386,1.0,0.9909344703314552,0.9905831202969543
E2_pop8_mut30,knn,4,0.9919219252578524,0.982138613861386,1.0,0.9909344703314552,0.9919219252578524
E2_pop8_mut30,knn,5,0.9919219252578524,0.982138613861386,1.0,0.9909344703314552,0.9919219252578524
E3_pop12_mut50,logistic_regression,1,0.9938709579106189,0.9900990099009901,0.9959183673469388,0.9949130266718207,0.983874662186575
E3_pop12_mut50,logistic_regression,2,0.9938709579106189,0.9900990099009901,0.9959183673469388,0.9949130266718207,0.9858965623473358
E3_pop12_mut50,logistic_regression,3,0.9955160587609407,0.9900990099009901,1.0,0.9949545193021457,0.9940080496481459
E3_pop12_mut50,logistic_regression,4,0.9955160587609407,0.9900990099009901,1.0,0.9949545193021457,0.993832891221813
E3_pop12_mut50,logistic_regression,5,0.9955160587609407,0.9900990099009901,1.0,0.9949545193021457,0.9955160587609408
E3_pop12_mut50,logistic_regression,6,0.9955160587609407,0.9900990099009901,1.0,0.9949545193021457,0.9947182109780233
E3_pop12_mut50,decision_tree,1,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.8619492613994572
E3_pop12_mut50,decision_tree,2,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9889584139137867
E3_pop12_mut50,decision_tree,3,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9783582561401656
E3_pop12_mut50,decision_tree,4,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.85219477445264
E3_pop12_mut50,decision_tree,5,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E3_pop12_mut50,decision_tree,6,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E3_pop12_mut50,random_forest,1,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9396058866916569
E3_pop12_mut50,random_forest,2,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E3_pop12_mut50,random_forest,3,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9744431245563461
E3_pop12_mut50,random_forest,4,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E3_pop12_mut50,random_forest,5,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E3_pop12_mut50,random_forest,6,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9858837813497082
E3_pop12_mut50,knn,1,0.9963966835262206,0.9920396039603961,1.0,0.995949341127006,0.9902183180867835
